fiscal_year,direction,fund_code,fund_label,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,name_source,master_kan_code,master_kan_name,master_kou_code,master_kou_name,master_kind,master_basis
2026,expenditure,"",一般会計,1,議会費,1,議会費,1,議会費,statement-pdf,1,議会費,1,議会費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2026,expenditure,"",一般会計,1,議会費,1,議会費,2,事務局費,statement-pdf,1,議会費,1,議会費,map,項の名称がマスタと完全一致（款は account_map の対応を介す）
2026,expenditure,"",一般会計,2,子ども費,1,子ども管理費,1,教育委員会費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,1,子ども管理費,2,子ども総務費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,1,子ども管理費,3,教育指導費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,1,子ども管理費,4,校外施設費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,2,学校管理費,1,小学校管理費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,2,学校管理費,2,中学校管理費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,2,学校管理費,3,中等教育学校管理費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,2,学校管理費,4,幼稚園管理費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,2,学校管理費,5,教育振興費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,2,学校管理費,6,学校保健費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
2026,expenditure,"",一般会計,2,子ども費,2,学校管理費,7,学校施設建設費,statement-pdf,,,,,addition,款名「子ども費」。千代田区の歳出の款は組織別に再編されており、法定の款（民生費・衛生費・教育費・土木費など）に一対一で対応しない。様式の備考1は行政権能の差による款の追加を認めているが、これは追加ではなく体系の再編であり、**どの法定の款と同一かを決める根拠が無い**ので対応先を空のまま追加として登録する（三鷹市のスポーツ推進費・生涯学習費と同じ扱い）
