priority,rule_id,applies_to,match_fund,match_kan,match_kou,match_kan_code,match_moku,moku_mode,match_setsu,status,cofog_code,consolidation,decided_at_level,counterpart_fund,basis
7,debt-principal,,,公債費,,,元金,eq,,out-of-scope,,retained,目,,市債の元金償還。金融負債の返済であり、COFOG の対象である経費・非金融資産への純投資のいずれでもない
8,debt-interest,,,公債費,,,利子,eq,,assigned,01.7,retained,目,,市債利子。COFOG 01.7 公債取引にあたる
9,fund-accumulation,,,,,,,eq,積立金,out-of-scope,,retained,節,,基金への積立。金融資産の取得であり COFOG の集計対象ではない
11,contingency,,,予備費,,,,eq,,unclassifiable,,retained,款,,予備費。COFOG の対象だが、執行されるまで機能が決まらないため割り当ての根拠が無い
28,gikai,,,議会費,,,,eq,,assigned,01.1,retained,款,,議会。COFOG 01.1 立法機関・行政機関
29,somu,,,総務費,,,,eq,,assigned,01,retained,款,,総務・徴税・戸籍・選挙・統計・監査。COFOG 01 一般公共サービス
30,minsei,,,民生費,,,,eq,,assigned,10,retained,款,,社会福祉・児童福祉・生活保護。COFOG 10 社会保護
31,rodo,,,労働費,,,,eq,,assigned,04.1.2,retained,款,,労働諸費。COFOG 04.1.2 一般労働業務
32,norin,,,農林費,,,,eq,,assigned,04.2,retained,款,,農業。COFOG 04.2 農林水産業
33,shoko,,,商工費,,,,eq,,assigned,04.7,retained,款,,商工業。COFOG 04.7 その他の産業
34,shobo,,,消防費,,,,eq,,assigned,03.2,retained,款,,消防。COFOG 03.2 消防サービス
111,chiyoda-kodomo-kanri,131016,一般会計,,子ども管理費,,,eq,,assigned,09.8,retained,項,,千代田区 款2 項1。教育委員会・指導・校外施設の運営。COFOG 09.8 他に分類されない教育
112,chiyoda-gakko-shoto,131016,一般会計,,学校管理費,,小学校管理費|幼稚園管理費,eq,,assigned,09.1,retained,目,,千代田区 款2 項2 のうち小学校・幼稚園。COFOG 09.1 就学前教育及び初等教育
113,chiyoda-gakko-chuto,131016,一般会計,,学校管理費,,中学校管理費|中等教育学校管理費,eq,,assigned,09.2,retained,目,,千代田区 款2 項2 のうち中学校・中等教育学校。COFOG 09.2 中等教育
114,chiyoda-gakko-hoken,131016,一般会計,,学校管理費,,学校保健費,eq,,assigned,09.6,retained,目,,千代田区 款2 項2 のうち学校保健。COFOG 09.6 教育に付帯するサービス
115,chiyoda-gakko-other,131016,一般会計,,学校管理費,,,eq,,assigned,09.5,retained,項,,千代田区 款2 項2 の残り（教育振興費・学校施設建設費）。小中の双方に及び水準を特定できないので COFOG 09.5
116,chiyoda-kodomo-katei,131016,一般会計,,子ども家庭費,,,eq,,assigned,10.4,retained,項,,千代田区 款2 項3。児童福祉・保育園・こども園。COFOG 10.4 家族及び児童
117,chiyoda-fukushi-kanri,131016,一般会計,,保健福祉管理費,,,eq,,assigned,10,retained,項,,千代田区 款3 項1。保健福祉の総務。対象が特定の給付に絞れないので COFOG 10 社会保護の division 止まり
118,chiyoda-koreisha,131016,一般会計,,高齢者・障害者費,,高齢者福祉費|高齢者施設建設費,eq,,assigned,10.2,retained,目,,千代田区 款3 項2 のうち高齢者。COFOG 10.2 高齢
