fiscal_year,direction,budget_line_id,cofog_status,cofog_division,cofog_consolidation,cofog_decided_at_level,cofog_rule_id,cofog_counterpart_fund
2024,expenditure,132047:2024:expenditure:approved:000bbaa7f951e986,assigned,08,retained,項,kyoiku-sports,
2024,expenditure,132047:2024:expenditure:approved:001498f5f098f6f1,assigned,09,retained,目,shogaigakushu-other,
2024,expenditure,132047:2024:expenditure:approved:0024e37688a925d0,assigned,09,retained,項,kyoiku-somu,
2024,expenditure,132047:2024:expenditure:approved:002539fee342242e,assigned,10,retained,款,minsei,
2024,expenditure,132047:2024:expenditure:approved:00339bd6308a93ba,assigned,01,retained,款,somu,
2024,expenditure,132047:2024:expenditure:approved:00474a48da7edd19,assigned,01,retained,款,somu,
2024,expenditure,132047:2024:expenditure:approved:0052b9dc489f7a4b,assigned,09,retained,目,shogaigakushu-other,
2024,expenditure,132047:2024:expenditure:approved:005e7592caa92fc3,assigned,01,retained,款,somu,
2024,expenditure,132047:2024:expenditure:approved:005e97af5f86776c,assigned,10,retained,款,minsei,
2024,expenditure,132047:2024:expenditure:approved:005f748c98380636,assigned,09,retained,目,shogaigakushu-other,
2024,expenditure,132047:2024:expenditure:approved:006bd419d7313fd5,assigned,06,retained,項,doboku-jutaku,
2024,expenditure,132047:2024:expenditure:approved:006cdbbcb1c8d4d2,assigned,01,retained,款,somu,
2024,expenditure,132047:2024:expenditure:approved:0089f917c2d3940d,assigned,07,retained,項,eisei-hoken,
2024,expenditure,132047:2024:expenditure:approved:008a40bc9f4e3b4d,assigned,04,retained,款,norin,
2024,expenditure,132047:2024:expenditure:approved:00a4e92960cf8b14,assigned,08,retained,項,kyoiku-sports,
2024,expenditure,132047:2024:expenditure:approved:00ad526d0a3b3c97,assigned,01,retained,款,somu,
2024,expenditure,132047:2024:expenditure:approved:00b2e8e88ae52614,assigned,10,retained,款,minsei,
2024,expenditure,132047:2024:expenditure:approved:00bfae72d2b39b9e,assigned,09,retained,項,kyoiku-somu,
2024,expenditure,132047:2024:expenditure:approved:00c2a070fe7c46fc,assigned,10,retained,款,minsei,
2024,expenditure,132047:2024:expenditure:approved:00ca027a3a39330a,assigned,09,retained,目,shogaigakushu-other,
2024,expenditure,132047:2024:expenditure:approved:00cd96a0baaf835a,assigned,01,retained,款,somu,
2024,expenditure,132047:2024:expenditure:approved:00e257a774757815,assigned,09,retained,項,kyoiku-somu,
2024,expenditure,132047:2024:expenditure:approved:00e9475a6e7cc081,assigned,09,retained,項,kyoiku-somu,
2024,expenditure,132047:2024:expenditure:approved:00eb0a05ee9ba4c2,assigned,04,retained,項,doboku-doro,
2024,expenditure,132047:2024:expenditure:approved:00ec499813cd7b5d,assigned,04,retained,項,doboku-kanri,
