fiscal_year,direction,budget_line_id,cofog_status,cofog_division,cofog_group,cofog_class,cofog_consolidation,cofog_decided_at_level,cofog_rule_id,cofog_counterpart_fund
2025,expenditure,132071:2025:expenditure:approved:00086e682f732a92,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:001cb1ca1e1586cb,assigned,04,04.5,"",retained,項,akishima-doboku-kanri,
2025,expenditure,132071:2025:expenditure:approved:00267ae46e54b740,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:0041aec7f3df135d,assigned,07,"","",retained,項,akishima-eisei-hoken,
2025,expenditure,132071:2025:expenditure:approved:004399da00d532ae,assigned,04,04.2,"",retained,款,norin,
2025,expenditure,132071:2025:expenditure:approved:0046fc7577d45052,assigned,05,05.1,"",retained,項,akishima-eisei-seiso,
2025,expenditure,132071:2025:expenditure:approved:00565e2889dc71eb,assigned,09,09.2,"",retained,項,akishima-kyoiku-chuto,
2025,expenditure,132071:2025:expenditure:approved:00762a67ae069ffc,assigned,09,09.1,"",retained,項,akishima-kyoiku-shoto,
2025,expenditure,132071:2025:expenditure:approved:0076da43ce0aec79,assigned,01,"","",retained,款,somu,
2025,expenditure,132071:2025:expenditure:approved:0080670d05cd4701,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:00c28c558eaa98b2,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:00e4ae80df4a35ea,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:00ef1bf5ba13b901,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:00fd7e8b51ec44ad,assigned,03,03.2,"",retained,款,shobo,
2025,expenditure,132071:2025:expenditure:approved:010225c0537abab9,assigned,01,01.1,"",retained,款,gikai,
2025,expenditure,132071:2025:expenditure:approved:0104fe2cf699cbc9,assigned,03,03.2,"",retained,款,shobo,
2025,expenditure,132071:2025:expenditure:approved:0111a7fdfbfeaf37,assigned,10,"","",retained,款,minsei,
2025,expenditure,132071:2025:expenditure:approved:0121027d21eb359e,assigned,06,06.2,"",retained,項,akishima-toshikeikaku-other,
2025,expenditure,132071:2025:expenditure:approved:01232830af650a12,assigned,09,09.8,"",retained,項,akishima-kyoiku-gakko,
