budget_line_id,fiscal_year,phase_id,source_row,fund_code,fund_label,kan_code,kan_label,kou_code,kou_label,moku_code,moku_label,setsu_code,setsu_label,saisetsu_code,saisetsu_label,value,source_amount
132071:2025:revenue:approved:6a73d98f3b904f07,2025,approved,1,"",一般会計,1,市税,1,市民税,1,個人,1,現年課税分,"",現年課税分(課税課),7867600000,7867600
132071:2025:revenue:approved:cd76acf6032e1b88,2025,approved,2,"",一般会計,1,市税,1,市民税,1,個人,2,滞納繰越分,"",滞納繰越分(課税課、納税課),59100000,59100
132071:2025:revenue:approved:52755a50b550748a,2025,approved,3,"",一般会計,1,市税,1,市民税,2,法人,1,現年課税分,"",現年課税分(課税課),1613500000,1613500
132071:2025:revenue:approved:b084eecb6cc0d3d3,2025,approved,4,"",一般会計,1,市税,1,市民税,2,法人,2,滞納繰越分,"",滞納繰越分(課税課、納税課),1100000,1100
132071:2025:revenue:approved:c8a430c636385586,2025,approved,5,"",一般会計,1,市税,2,固定資産税,1,固定資産税,1,現年課税分,"",現年課税分(課税課),8990970000,8990970
132071:2025:revenue:approved:f634ac1ded772a01,2025,approved,6,"",一般会計,1,市税,2,固定資産税,1,固定資産税,2,滞納繰越分,"",滞納繰越分(課税課、納税課),24000000,24000
132071:2025:revenue:approved:3615c2f4b45f6b9d,2025,approved,7,"",一般会計,1,市税,2,固定資産税,2,国有資産等所在市町村交付金,1,現年課税分,"",現年課税分(課税課),264330000,264330
132071:2025:revenue:approved:762d76c0a3452155,2025,approved,8,"",一般会計,1,市税,3,軽自動車税,1,環境性能割,1,現年課税分,"",現年課税分(課税課),12890000,12890
132071:2025:revenue:approved:f49c84fcd32acfa3,2025,approved,9,"",一般会計,1,市税,3,軽自動車税,1,環境性能割,2,滞納繰越分,"",滞納繰越分(課税課、納税課),1000,1
132071:2025:revenue:approved:e7161205f5abeeba,2025,approved,10,"",一般会計,1,市税,3,軽自動車税,2,種別割,1,現年課税分,"",現年課税分(課税課),152210000,152210
132071:2025:revenue:approved:cf6bf0b743e5f6e2,2025,approved,11,"",一般会計,1,市税,3,軽自動車税,2,種別割,2,滞納繰越分,"",滞納繰越分(課税課、納税課),1299000,1299
132071:2025:revenue:approved:501f584aad95e3f7,2025,approved,12,"",一般会計,1,市税,4,市たばこ税,1,市たばこ税,1,現年課税分,"",現年課税分(課税課),824700000,824700
132071:2025:revenue:approved:9c84ebdfa67f9f2f,2025,approved,13,"",一般会計,1,市税,5,都市計画税,1,都市計画税,1,現年課税分,"",現年課税分(課税課),1693000000,1693000
132071:2025:revenue:approved:3edeccbb90b91fda,2025,approved,14,"",一般会計,1,市税,5,都市計画税,1,都市計画税,2,滞納繰越分,"",滞納繰越分(課税課、納税課),5100000,5100
132071:2025:revenue:approved:c1076b0ad6a3ac55,2025,approved,15,"",一般会計,2,地方譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,1,地方揮発油譲与税,"",地方揮発油譲与税(財政課),38000000,38000
132071:2025:revenue:approved:7c1eaf6567d8d66f,2025,approved,16,"",一般会計,2,地方譲与税,2,自動車重量譲与税,1,自動車重量譲与税,1,自動車重量譲与税,"",自動車重量譲与税(財政課),126000000,126000
