budget_line_id,fiscal_year,phase_id,phase_label,source_row,org_code,org_label,budget_class_code,budget_class_label,fund_code,fund_label,kan_code,kan_label,kou_code,kou_label,moku_code,moku_label,daijigyo_code,daijigyo_label,chujigyo_code,chujigyo_label,shojigyo_code,shojigyo_label,setsu_code,setsu_label,saisetsu_code,saisetsu_label,saisaisetsu_code,saisaisetsu_label,value,source_amount,source_amount_unit
132195:2018:expenditure:settlement:ad1c5b285ade1d22,2018,adjusted,予算現額,2,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",1,"",13,"",0,"",0,"",1,報酬,0,"",0,"",281000,281000,円
132195:2018:expenditure:settlement:ad1c5b285ade1d22,2018,adjusted-before-transfer,補正後予算額（流用・充用前）,2,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",1,"",13,"",0,"",0,"",1,報酬,0,"",0,"",281000,281000,円
132195:2018:expenditure:settlement:ad1c5b285ade1d22,2018,executed,執行済額,2,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",1,"",13,"",0,"",0,"",1,報酬,0,"",0,"",244300,244300,円
132195:2018:expenditure:settlement:984a6cd9c40b62b5,2018,adjusted,予算現額,3,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",1,"",13,"",0,"",0,"",14,使用料及び賃借料,0,"",0,"",162000,162000,円
132195:2018:expenditure:settlement:984a6cd9c40b62b5,2018,adjusted-before-transfer,補正後予算額（流用・充用前）,3,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",1,"",13,"",0,"",0,"",14,使用料及び賃借料,0,"",0,"",162000,162000,円
132195:2018:expenditure:settlement:984a6cd9c40b62b5,2018,executed,執行済額,3,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",1,"",13,"",0,"",0,"",14,使用料及び賃借料,0,"",0,"",162000,162000,円
132195:2018:expenditure:settlement:f8f80bbb91c8a41f,2018,adjusted,予算現額,4,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",2,"",1,"",0,"",0,"",1,報酬,0,"",0,"",767000,767000,円
132195:2018:expenditure:settlement:f8f80bbb91c8a41f,2018,adjusted-before-transfer,補正後予算額（流用・充用前）,4,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",2,"",1,"",0,"",0,"",1,報酬,0,"",0,"",767000,767000,円
132195:2018:expenditure:settlement:f8f80bbb91c8a41f,2018,executed,執行済額,4,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",2,"",1,"",0,"",0,"",1,報酬,0,"",0,"",755610,755610,円
132195:2018:expenditure:settlement:e10f54a769763fc2,2018,adjusted,予算現額,5,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",2,"",1,"",0,"",0,"",9,旅費,0,"",0,"",131000,131000,円
132195:2018:expenditure:settlement:e10f54a769763fc2,2018,adjusted-before-transfer,補正後予算額（流用・充用前）,5,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",2,"",1,"",0,"",0,"",9,旅費,0,"",0,"",131000,131000,円
132195:2018:expenditure:settlement:e10f54a769763fc2,2018,executed,執行済額,5,100100,企画財政部・政策室,0,現年度,1,一般会計,2,"",1,"",2,"",1,"",0,"",0,"",9,旅費,0,"",0,"",122000,122000,円
