fiscal_year,fund_code,kan_code,kou_code,moku_code,daijigyo_code,project_name,matched_thousand_yen,match_method,match_basis,candidate_count
2020,1,1,1,1,1,人件費,57397,round,total,1
2020,1,1,1,1,2,議会関係費,227705,round,total,1
2020,1,1,1,1,3,一般事務費,15697,round,total,1
2020,1,2,1,1,1,人件費,723231,round,total,1
2020,1,2,1,1,2,一般事務費,1606,round,org_subtotal,4
2020,1,2,1,1,4,市長の資産等の公開に関する審査会費,34,round,total,1
2020,1,2,1,1,5,行政不服審査及び個人情報保護制度関係費,262,floor,total,1
2020,1,2,1,1,6,庁舎維持管理費,136289,round,total,1
2020,1,2,1,1,7,庁用車関係費,8680,round,total,1
2020,1,2,1,1,8,職員管理費,547454,round,total,1
2020,1,2,1,1,9,職員健康管理費,16317,floor,total,1
2020,1,2,1,1,10,職員福利厚生費,5334,round,total,1
2020,1,2,1,1,11,職員研修費,6197,round,total,1
2020,1,2,1,1,12,公務災害関係費,5035,round,total,1
2020,1,2,1,2,1,文書管理関係費,39192,floor,total,1
2020,1,2,1,2,2,印刷関係費,5479,round,total,1
2020,1,2,1,3,1,広報関係費,14786,round,total,1
2020,1,2,1,3,2,ホームページ関係費ｱ,1738,round,total,1
2020,1,2,1,3,3,市民相談関係費,1764,round,total,1
2020,1,2,1,4,1,一般事務費,9814,floor,total,1
2020,1,2,1,5,1,一般事務費,5593,round,total,1
2020,1,2,1,6,1,財産管理費,1679,round,org_subtotal,2
2020,1,2,1,6,2,公共施設整備基金費,100246,round,total,1
2020,1,2,1,6,3,公共施設修繕基金費,100140,round,total,1
2020,1,2,1,7,1,一般事務費,2298,round,org_subtotal,2
2020,1,2,1,7,2,初春まつり関係費,176,round,total,1
2020,1,2,1,7,3,市制施行５０周年記念関係費,369,ceil,org_subtotal,3
2020,1,2,1,7,4,憲法・平和都市新関係費,14,round,total,1
2020,1,2,1,7,5,国際化推進,165,round,total,1
2020,1,2,1,7,6,男女共同参画施策推進,241,round,total,1
2020,1,2,1,7,7,市民参加と市民協働に関する審議会関係費,383,round,total,1
2020,1,2,1,7,8,市民活動支援センター関係費,34002,round,total,1
2020,1,2,1,7,9,行政評価関係費,629,round,total,1
2020,1,2,1,7,10,市民憲章見直し事業,2962,round,total,1
2020,1,2,1,7,14,人権擁護委員関係事業,208,round,total,1
2020,1,2,1,7,15,市民公益活動団体補助,205,round,total,1
2020,1,2,1,7,16,人権基本条例関係費,261,round,total,1
2020,1,2,1,7,17,市民活動関係費,8726,round,total,1
2020,1,2,1,7,18,ＩＣＴ活用推進関係費,3806,round,total,1
2020,1,2,1,7,19,市史編さん事業費,22986,round,total,1
2020,1,2,1,7,20,桜まつり関係費,2431,round,total,1
2020,1,2,1,7,21,えきまえ広場関係費,1434,round,total,1
2020,1,2,1,7,22,市制施行５０周年記念「絵手紙公募展・講演会」関係費,6540,round,total,1
2020,1,2,1,8,1,計算事務費,274757,round,total,1
2020,1,2,1,8,2,電子自治体推進費,9808,round,total,1
2020,1,2,1,9,1,一般事務費,74,round,total,1
2020,1,2,1,9,3,市民まつり関係費,6000,round,total,1
2020,1,2,1,9,4,コミュニティ活動活性化助成,1260,round,total,1
2020,1,2,1,10,1,訴訟関係費,1320,round,total,1
2020,1,2,2,1,1,人件費,225543,floor,total,1
2020,1,2,2,1,2,一般事務費,251,round,org_subtotal,2
2020,1,2,2,3,1,固定資産評価審査委員会費,31,round,total,1
2020,1,2,3,1,1,人件費,103742,round,total,1
2020,1,2,3,1,2,一般事務費,94543,floor,total,1
2020,1,2,3,1,3,人口動態調査,87,round,total,1
2020,1,2,3,1,4,住民基本台帳人口調査,201,round,total,1
2020,1,2,3,1,5,中長期在留者住居地届出等事務,47,round,total,1
2020,1,2,3,1,6,個人番号カード交付事業,48132,round,total,1
2020,1,2,3,1,7,証明書コンビニ交付事業,12686,floor,total,1
2020,1,2,3,2,1,住居表示関係費,2878,round,total,1
2020,1,2,4,1,1,人件費,25068,round,total,1
2020,1,2,4,1,2,選挙管理委員会費,2837,round,total,1
2020,1,2,4,2,1,選挙啓発費,39,round,total,1
2020,1,2,4,3,1,人件費,1194,round,total,1
2020,1,2,4,3,2,東京都知事選挙費,36680,round,total,1
2020,1,2,4,4,2,東京都議会議員選挙費,2120,round,total,1
2020,1,2,5,1,1,一般事務費,52,round,total,1
2020,1,2,5,2,1,学校基本調査,15,round,total,1
2020,1,2,5,2,2,経済センサス調査区管理,3,round,total,1
2020,1,2,5,2,3,建設工事統計調査,19,round,total,1
2020,1,2,5,2,4,工業統計調査,7,round,total,1
2020,1,2,5,2,5,２０２０年農林業センサス,16,round,total,1
2020,1,2,5,2,6,令和２年国勢調査,39419,round,total,1
2020,1,2,5,2,7,令和３年経済センサス活動調査準備事務,496,round,total,1
2020,1,2,6,1,1,人件費,21151,round,total,1
2020,1,2,6,1,2,監査委員関係費,2242,round,total,1
2020,1,3,1,1,1,人件費,420080,round,total,1
2020,1,3,1,1,2,一般事務費,6636,floor,org_subtotal,2
2020,1,3,1,1,4,民生委員，児童委員関係費,11509,round,total,1
2020,1,3,1,1,5,民生委員，児童委員協力員関係費,475,round,total,1
2020,1,3,1,1,6,市民福祉推進委員会関係費,14013,round,total,1
