jurisdiction_code,fiscal_year,direction,budget_line_id,cofog_status,cofog_division,cofog_consolidation,cofog_decided_at_level,cofog_rule_id,cofog_counterpart_fund
132047,2024,expenditure,132047:2024:expenditure:approved:000bbaa7f951e986,assigned,08,retained,項,kyoiku-sports,
132047,2024,expenditure,132047:2024:expenditure:approved:001498f5f098f6f1,assigned,09,retained,目,shogaigakushu-other,
132047,2024,expenditure,132047:2024:expenditure:approved:0024e37688a925d0,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:002539fee342242e,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:00339bd6308a93ba,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:00474a48da7edd19,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:0052b9dc489f7a4b,assigned,09,retained,目,shogaigakushu-other,
132047,2024,expenditure,132047:2024:expenditure:approved:005e7592caa92fc3,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:005e97af5f86776c,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:005f748c98380636,assigned,09,retained,目,shogaigakushu-other,
132047,2024,expenditure,132047:2024:expenditure:approved:006bd419d7313fd5,assigned,06,retained,項,doboku-jutaku,
132047,2024,expenditure,132047:2024:expenditure:approved:006cdbbcb1c8d4d2,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:0089f917c2d3940d,assigned,07,retained,項,eisei-hoken,
132047,2024,expenditure,132047:2024:expenditure:approved:008a40bc9f4e3b4d,assigned,04,retained,款,norin,
132047,2024,expenditure,132047:2024:expenditure:approved:00a4e92960cf8b14,assigned,08,retained,項,kyoiku-sports,
132047,2024,expenditure,132047:2024:expenditure:approved:00ad526d0a3b3c97,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:00b2e8e88ae52614,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:00bfae72d2b39b9e,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:00c2a070fe7c46fc,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:00ca027a3a39330a,assigned,09,retained,目,shogaigakushu-other,
132047,2024,expenditure,132047:2024:expenditure:approved:00cd96a0baaf835a,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:00e257a774757815,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:00e9475a6e7cc081,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:00eb0a05ee9ba4c2,assigned,04,retained,項,doboku-doro,
132047,2024,expenditure,132047:2024:expenditure:approved:00ec499813cd7b5d,assigned,04,retained,項,doboku-kanri,
132047,2024,expenditure,132047:2024:expenditure:approved:00f4d1d261fa0519,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:00f68368467f167f,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:010f1396b32e2fd6,assigned,04,retained,款,norin,
132047,2024,expenditure,132047:2024:expenditure:approved:010f6a17ef670a43,assigned,04,retained,項,doboku-kanri,
132047,2024,expenditure,132047:2024:expenditure:approved:0112932163242809,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:0146261be4ba907d,assigned,09,retained,目,shogaigakushu-other,
132047,2024,expenditure,132047:2024:expenditure:approved:014bd112874592c9,assigned,06,retained,目,toshikeikaku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:014bf46b7cdb6c47,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:0159154b3100c0d1,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:01718987a8a740fa,assigned,08,retained,項,kyoiku-sports,
132047,2024,expenditure,132047:2024:expenditure:approved:018058d0f03a32cc,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:0186c6c3fadb03e1,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:018f114db3f5ca22,assigned,08,retained,項,kyoiku-sports,
132047,2024,expenditure,132047:2024:expenditure:approved:019149fd625a930b,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:01986f7103b90402,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:019c10a34c12450c,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:01bc962a2a2dfda7,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:01d0d20e1dee6fa5,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:01de16bb359dbd26,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:01df42140ff2f9f4,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:020377d3a1c27e01,assigned,07,retained,会計,fund-kokuho,
132047,2024,expenditure,132047:2024:expenditure:approved:020b485ae6a86e9b,assigned,04,retained,款,shoko,
132047,2024,expenditure,132047:2024:expenditure:approved:0210378c2ca2b0e5,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:0228506b7401ffdc,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:022e6c1139248a6f,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:023c108130f7bbcc,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:026a173c1df35441,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:028610d300b5f98b,assigned,07,retained,会計,fund-kokuho,
132047,2024,expenditure,132047:2024:expenditure:approved:02b8f28d3aac743a,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:02bb610dc2fd2376,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:02ca7bc6bed31695,assigned,08,retained,項,kyoiku-sports,
132047,2024,expenditure,132047:2024:expenditure:approved:02ce43db49a56de6,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:02ceeddbbfd6c4a3,assigned,07,retained,項,eisei-hoken,
132047,2024,expenditure,132047:2024:expenditure:approved:02d12a7daf2670bf,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:02e4e5b2cf83d36a,assigned,04,retained,款,norin,
132047,2024,expenditure,132047:2024:expenditure:approved:02eaf96e2196a649,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:02fb36bd97378f15,assigned,08,retained,目,toshikeikaku-kouen,
132047,2024,expenditure,132047:2024:expenditure:approved:0308a885bae2874c,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:030909aa53e05df9,assigned,05,retained,項,eisei-seiso,
132047,2024,expenditure,132047:2024:expenditure:approved:03149e09ef34bc64,assigned,09,retained,目,shogaigakushu-other,
132047,2024,expenditure,132047:2024:expenditure:approved:0329fc3bcb81caf0,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:0333068cd477c799,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:03408d22a1731351,assigned,07,retained,項,eisei-hoken,
132047,2024,expenditure,132047:2024:expenditure:approved:03451b71a2cb6b74,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:034bd0533683de39,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:0361298f6072e100,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:036144011e47a5b9,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:0368a29fd6e707aa,assigned,01,retained,款,somu,
132047,2024,expenditure,132047:2024:expenditure:approved:036c6b6178870d46,assigned,10,retained,款,minsei,
132047,2024,expenditure,132047:2024:expenditure:approved:03832e2ad108e6db,assigned,09,retained,項,kyoiku-somu,
132047,2024,expenditure,132047:2024:expenditure:approved:03ac232a56cc0d39,assigned,09,retained,目,shogaigakushu-other,
