budget_line_id,jurisdiction_code,jurisdiction_label,fiscal_year,direction,phase_id,phase_label,fund_code,fund_label,fund_source,kan_code,kan_label,kan_source,kou_code,kou_label,kou_source,moku_code,moku_label,moku_source,jikou_code,jikou_label,jikou_source,setsu_code,setsu_label,setsu_source,saisaisetsu_code,saisaisetsu_label,saisaisetsu_source,hierarchy_path,value,currency,source_amount,source_amount_unit,source_row,cofog_division_code,cofog_division_label,cofog_status,cofog_consolidation,cofog_consolidation_scope,cofog_counterpart_ids,cofog_decided_at_level,cofog_basis,cofog_rule_id
132047:2024:expenditure:approved:395d2a27f9675bc8,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,01,議員人件費その他,01議員人件費その他,01,報酬,01報酬,01,議員報酬　２８人,01議員報酬　２８人,会計01/款01/項01/目01/事項01/節01/細々節01,186240000,JPY,186240,千円,2,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:a64d9749ec971321,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,01,議員人件費その他,01議員人件費その他,03,職員手当等,03職員手当等,01,議員期末手当,01議員期末手当,会計01/款01/項01/目01/事項01/節03/細々節01,86602000,JPY,86602,千円,3,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:74e7c43b3f1d90ad,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,01,議員人件費その他,01議員人件費その他,04,共済費,04共済費,01,議員共済会負担金,01議員共済会負担金,会計01/款01/項01/目01/事項01/節04/細々節01,54511000,JPY,54511,千円,4,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:db87f109c6a6e25d,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,01,議員人件費その他,01議員人件費その他,08,旅費,08旅費,01,議員普通旅費,01議員普通旅費,会計01/款01/項01/目01/事項01/節08/細々節01,112000,JPY,112,千円,5,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:5fc24655bf20a7c5,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,01,議員人件費その他,01議員人件費その他,08,旅費,08旅費,01,議員管外旅費,01議員管外旅費,会計01/款01/項01/目01/事項01/節08/細々節01,3498000,JPY,3498,千円,6,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:1ac4527f4bd951b9,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,01,議員人件費その他,01議員人件費その他,12,委託料,12委託料,01,健康診断委託料,01健康診断委託料,会計01/款01/項01/目01/事項01/節12/細々節01,281000,JPY,281,千円,7,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:7d5fc52175a6cba5,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,02,職員人件費その他,02職員人件費その他,02,給料,02給料,01,一般職給料　１３人,01一般職給料　１３人,会計01/款01/項01/目01/事項02/節02/細々節01,58342000,JPY,58342,千円,8,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:ca4b0cb89597d613,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,02,職員人件費その他,02職員人件費その他,03,職員手当等,03職員手当等,01,一般職手当,01一般職手当,会計01/款01/項01/目01/事項02/節03/細々節01,49080000,JPY,49080,千円,9,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:3a03486b9bf0b4a0,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,02,職員人件費その他,02職員人件費その他,03,職員手当等,03職員手当等,01,児童手当,01児童手当,会計01/款01/項01/目01/事項02/節03/細々節01,1305000,JPY,1305,千円,10,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
132047:2024:expenditure:approved:c9d9226540caca71,132047,三鷹市,2024,expenditure,approved,当初予算,01,一般会計,01一般会計,01,議会費,01議会費,01,議会費,01議会費,01,議会費,01議会費,02,職員人件費その他,02職員人件費その他,04,共済費,04共済費,01,共済組合市負担金,01共済組合市負担金,会計01/款01/項01/目01/事項02/節04/細々節01,23306000,JPY,23306,千円,11,01,一般公共サービス,assigned,retained,,,款,議会。COFOG 01.1 立法機関・行政機関,gikai
