budget_line_id,jurisdiction_code,jurisdiction_label,fiscal_year,direction,phase_id,phase_label,fund_code,fund_label,fund_source,kan_code,kan_label,kan_source,kou_code,kou_label,kou_source,moku_code,moku_label,moku_source,setsu_code,setsu_label,setsu_source,saisetsu_code,saisetsu_label,saisetsu_source,saisaisetsu_code,saisaisetsu_label,saisaisetsu_source,hierarchy_path,value,currency,source_amount,source_amount_unit,source_row
132047:2024:revenue:approved:af9786517ab41db8,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,01,市民税,01市民税,01,個人,01個人,01,現年課税分,01現年課税分,01,現年課税分,01現年課税分,0,,0,会計01/款01/項01/目01/節01/細節01/細々節0,18486803000,JPY,18486803,千円,2
132047:2024:revenue:approved:867b04430b38a771,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,01,市民税,01市民税,01,個人,01個人,02,滞納繰越分,02滞納繰越分,01,滞納繰越分,01滞納繰越分,0,,0,会計01/款01/項01/目01/節02/細節01/細々節0,133487000,JPY,133487,千円,3
132047:2024:revenue:approved:5703dea1cd85a9fc,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,01,市民税,01市民税,02,法人,02法人,01,現年課税分,01現年課税分,01,現年課税分,01現年課税分,0,,0,会計01/款01/項01/目02/節01/細節01/細々節0,1607426000,JPY,1607426,千円,4
132047:2024:revenue:approved:d676c8f61ce0ef84,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,01,市民税,01市民税,02,法人,02法人,02,滞納繰越分,02滞納繰越分,01,滞納繰越分,01滞納繰越分,0,,0,会計01/款01/項01/目02/節02/細節01/細々節0,3669000,JPY,3669,千円,5
132047:2024:revenue:approved:61e888d955482dcb,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,02,固定資産税,02固定資産税,01,固定資産税,01固定資産税,01,現年課税分,01現年課税分,01,現年課税分,01現年課税分,0,,0,会計01/款01/項02/目01/節01/細節01/細々節0,14990424000,JPY,14990424,千円,6
132047:2024:revenue:approved:697d9a6dfb13aebd,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,02,固定資産税,02固定資産税,01,固定資産税,01固定資産税,02,滞納繰越分,02滞納繰越分,01,滞納繰越分,01滞納繰越分,0,,0,会計01/款01/項02/目01/節02/細節01/細々節0,36000000,JPY,36000,千円,7
132047:2024:revenue:approved:68fa0397c05e4cf2,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,02,固定資産税,02固定資産税,02,国有資産等所在市町村交付金,02国有資産等所在市町村交付金,01,現年課税分,01現年課税分,01,交付金,01交付金,01,都有資産分,01都有資産分,会計01/款01/項02/目02/節01/細節01/細々節01,248824000,JPY,248824,千円,8
132047:2024:revenue:approved:6672cb3b862bb517,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,02,固定資産税,02固定資産税,02,国有資産等所在市町村交付金,02国有資産等所在市町村交付金,01,現年課税分,01現年課税分,01,交付金,01交付金,02,国有資産分,02国有資産分,会計01/款01/項02/目02/節01/細節01/細々節02,44856000,JPY,44856,千円,9
132047:2024:revenue:approved:320d389420bb07b1,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,03,軽自動車税,03軽自動車税,01,環境性能割,01環境性能割,01,現年課税分,01現年課税分,01,環境性能割,01環境性能割,0,,0,会計01/款01/項03/目01/節01/細節01/細々節0,8112000,JPY,8112,千円,10
132047:2024:revenue:approved:e0847d10e162e94f,132047,三鷹市,2024,revenue,approved,当初予算,01,一般会計,01一般会計,01,市税,01市税,03,軽自動車税,03軽自動車税,02,種別割,02種別割,01,現年課税分,01現年課税分,01,種別割,01種別割,0,,0,会計01/款01/項03/目02/節01/細節01/細々節0,112666000,JPY,112666,千円,11
