budget_line_id,fiscal_year,source_row,fund_code,fund_label,kan_code,kan_label,kou_code,kou_label,moku_code,moku_label,setsu_code,setsu_label,saisetsu_code,saisetsu_label,saisaisetsu_code,saisaisetsu_label,value,source_amount
132047:2024:revenue:approved:af9786517ab41db8,2024,2,01,一般会計,01,市税,01,市民税,01,個人,01,現年課税分,01,現年課税分,"",0,18486803000,18486803
132047:2024:revenue:approved:867b04430b38a771,2024,3,01,一般会計,01,市税,01,市民税,01,個人,02,滞納繰越分,01,滞納繰越分,"",0,133487000,133487
132047:2024:revenue:approved:5703dea1cd85a9fc,2024,4,01,一般会計,01,市税,01,市民税,02,法人,01,現年課税分,01,現年課税分,"",0,1607426000,1607426
132047:2024:revenue:approved:d676c8f61ce0ef84,2024,5,01,一般会計,01,市税,01,市民税,02,法人,02,滞納繰越分,01,滞納繰越分,"",0,3669000,3669
132047:2024:revenue:approved:61e888d955482dcb,2024,6,01,一般会計,01,市税,02,固定資産税,01,固定資産税,01,現年課税分,01,現年課税分,"",0,14990424000,14990424
132047:2024:revenue:approved:697d9a6dfb13aebd,2024,7,01,一般会計,01,市税,02,固定資産税,01,固定資産税,02,滞納繰越分,01,滞納繰越分,"",0,36000000,36000
132047:2024:revenue:approved:68fa0397c05e4cf2,2024,8,01,一般会計,01,市税,02,固定資産税,02,国有資産等所在市町村交付金,01,現年課税分,01,交付金,01,都有資産分,248824000,248824
132047:2024:revenue:approved:6672cb3b862bb517,2024,9,01,一般会計,01,市税,02,固定資産税,02,国有資産等所在市町村交付金,01,現年課税分,01,交付金,02,国有資産分,44856000,44856
132047:2024:revenue:approved:320d389420bb07b1,2024,10,01,一般会計,01,市税,03,軽自動車税,01,環境性能割,01,現年課税分,01,環境性能割,"",0,8112000,8112
132047:2024:revenue:approved:e0847d10e162e94f,2024,11,01,一般会計,01,市税,03,軽自動車税,02,種別割,01,現年課税分,01,種別割,"",0,112666000,112666
132047:2024:revenue:approved:3be2afdfce2a1077,2024,12,01,一般会計,01,市税,03,軽自動車税,02,種別割,02,滞納繰越分,01,滞納繰越分,"",0,1066000,1066
132047:2024:revenue:approved:3108b0110eac7ed6,2024,13,01,一般会計,01,市税,04,市たばこ税,01,市たばこ税,01,現年課税分,01,市たばこ税,"",0,835419000,835419
132047:2024:revenue:approved:b207c6dabe54c1a1,2024,14,01,一般会計,01,市税,05,入湯税,01,入湯税,01,現年課税分,01,入湯税,"",0,2000,2
132047:2024:revenue:approved:3a584a2007efff10,2024,15,01,一般会計,01,市税,06,事業所税,01,事業所税,01,現年課税分,01,現年課税分,"",0,419942000,419942
132047:2024:revenue:approved:23226b7f0e0e7496,2024,16,01,一般会計,01,市税,07,都市計画税,01,都市計画税,01,現年課税分,01,現年課税分,"",0,2912917000,2912917
132047:2024:revenue:approved:7b0e80fe70d4552d,2024,17,01,一般会計,01,市税,07,都市計画税,01,都市計画税,02,滞納繰越分,01,滞納繰越分,"",0,7844000,7844
132047:2024:revenue:approved:9f4a7ba8441767af,2024,18,01,一般会計,02,地方譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,01,地方揮発油譲与税,"",0,65090000,65090
132047:2024:revenue:approved:67e8cb0d7553277c,2024,19,01,一般会計,02,地方譲与税,02,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,01,自動車重量譲与税,"",0,211391000,211391
132047:2024:revenue:approved:7cbd8f21f8e34845,2024,20,01,一般会計,02,地方譲与税,03,森林環境譲与税,01,森林環境譲与税,01,森林環境譲与税,01,森林環境譲与税,"",0,21440000,21440
132047:2024:revenue:approved:96a4b36545c899ab,2024,21,01,一般会計,02,地方譲与税,04,航空機燃料譲与税,01,航空機燃料譲与税,01,航空機燃料譲与税,01,航空機燃料譲与税,"",0,119000,119
132047:2024:revenue:approved:2781c896d779fb9a,2024,22,01,一般会計,03,利子割交付金,01,利子割交付金,01,利子割交付金,01,利子割交付金,01,利子割交付金,"",0,73394000,73394
132047:2024:revenue:approved:328990142268e48a,2024,23,01,一般会計,04,配当割交付金,01,配当割交付金,01,配当割交付金,01,配当割交付金,01,配当割交付金,"",0,435225000,435225
132047:2024:revenue:approved:5223fb3f3d8fd368,2024,24,01,一般会計,05,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,01,株式等譲渡所得割交付金,"",0,448421000,448421
132047:2024:revenue:approved:6f5fa689364445a3,2024,25,01,一般会計,06,法人事業税交付金,01,法人事業税交付金,01,法人事業税交付金,01,法人事業税交付金,01,法人事業税交付金,"",0,653050000,653050
132047:2024:revenue:approved:548a9d97cbaf0764,2024,26,01,一般会計,07,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,01,地方消費税交付金,"",0,4591671000,4591671
132047:2024:revenue:approved:41c4b4352e5d1c93,2024,27,01,一般会計,08,自動車取得税交付金,01,自動車取得税交付金,01,旧法による自動車取得税交付金,01,旧法による自動車取得税交付金,01,旧法による自動車取得税交付金,"",0,1000,1
132047:2024:revenue:approved:ffbc4159986d40f0,2024,28,01,一般会計,09,環境性能割交付金,01,環境性能割交付金,01,環境性能割交付金,01,環境性能割交付金,01,環境性能割交付金,"",0,83436000,83436
132047:2024:revenue:approved:59145fd54c557d97,2024,29,01,一般会計,10,地方特例交付金,01,地方特例交付金,01,地方特例交付金,01,地方特例交付金,01,住宅借入金等特別税額控除減収補填特例交付金,"",0,162179000,162179
132047:2024:revenue:approved:426a4107d04bb940,2024,30,01,一般会計,10,地方特例交付金,01,地方特例交付金,01,地方特例交付金,01,地方特例交付金,02,定額減税減収補填特例交付金,"",0,924433000,924433
132047:2024:revenue:approved:4ecb0675b652d65a,2024,31,01,一般会計,10,地方特例交付金,02,新型コロナウイルス感染症対策地方税減収補填特別交付金,01,新型コロナウイルス感染症対策地方税減収補填特別交付金,01,新型コロナウイルス感染症対策地方税減収補填特別交付金,01,新型コロナウイルス感染症対策地方税減収補填特別交付金,"",0,386000,386
132047:2024:revenue:approved:fb0a4878a6761350,2024,32,01,一般会計,11,地方交付税,01,地方交付税,01,地方交付税,01,地方交付税,01,特別交付税,"",0,1000,1
132047:2024:revenue:approved:836391f50b955c5e,2024,33,01,一般会計,12,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金,01,交通安全対策特別交付金,"",0,18116000,18116
132047:2024:revenue:approved:10a3531806b12cb0,2024,34,01,一般会計,13,分担金及び負担金,01,負担金,01,民生費負担金,01,高齢者措置費負担金,01,高齢者施設入所措置費負担金,"",0,12000000,12000
