direction,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,is_personnel_moku,basis
expenditure,1,議会費,1,議会費,1,議会費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,1,一般管理費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,2,文書広報費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,3,財政管理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,4,会計管理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,5,財産管理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,6,企画費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,7,支所及び出張所費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,8,公平委員会費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,1,総務管理費,9,恩給及び退職年金費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,2,徴税費,1,税務総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,2,徴税費,2,賦課徴収費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,3,戸籍住民基本台帳費,1,戸籍住民基本台帳費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,4,選挙費,1,選挙管理委員会費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,4,選挙費,2,選挙啓発費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,4,選挙費,3,何選挙費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,5,統計調査費,1,統計調査総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,5,統計調査費,2,何統計費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,2,総務費,6,監査委員費,1,監査委員費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,1,社会福祉費,1,社会福祉総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,1,社会福祉費,2,社会福祉施設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,2,児童福祉費,1,児童福祉総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,2,児童福祉費,2,児童措置費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,2,児童福祉費,3,母子福祉費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,2,児童福祉費,4,児童福祉施設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,3,生活保護費,1,生活保護総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,3,生活保護費,2,扶助費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,3,生活保護費,3,生活保護施設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,3,民生費,4,災害救助費,1,災害救助費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,4,衛生費,1,保健衛生費,1,保健衛生総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,4,衛生費,1,保健衛生費,2,予防費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,4,衛生費,1,保健衛生費,3,環境衛生費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,4,衛生費,1,保健衛生費,4,診療所費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,4,衛生費,2,清掃費,1,清掃総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,4,衛生費,2,清掃費,2,塵芥処理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,4,衛生費,2,清掃費,3,し尿処理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,5,労働費,1,失業対策費,1,失業対策総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,5,労働費,1,失業対策費,2,一般失業対策事業費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,5,労働費,2,労働諸費,1,労働諸費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,1,農業費,1,農業委員会費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,1,農業費,2,農業総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,1,農業費,3,農業振興費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,1,農業費,4,畜産業費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,1,農業費,5,農地費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,2,林業費,1,林業総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,2,林業費,2,林業振興費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,3,水産業費,1,水産業総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,3,水産業費,2,水産業振興費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,3,水産業費,3,漁港管理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,6,農林水産業費,3,水産業費,4,漁港建設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,7,商工費,1,商工費,1,商工総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,7,商工費,1,商工費,2,商工業振興費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,7,商工費,1,商工費,3,観光費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,1,土木管理費,1,土木総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,2,道路橋りよう費,1,道路橋りよう総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,2,道路橋りよう費,2,道路維持費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,2,道路橋りよう費,3,道路新設改良費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,2,道路橋りよう費,4,橋りよう維持費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,2,道路橋りよう費,5,橋りよう新設改良費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,3,河川費,1,河川総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,4,港湾費,1,港湾管理費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,4,港湾費,2,港湾建設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,5,都市計画費,1,都市計画総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,5,都市計画費,2,土地区画整理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,5,都市計画費,3,街路事業費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,5,都市計画費,4,公共下水道費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,5,都市計画費,5,都市下水路費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,5,都市計画費,6,公園費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,6,住宅費,1,住宅管理費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,8,土木費,6,住宅費,2,住宅建設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,9,消防費,1,消防費,1,常備消防費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,9,消防費,1,消防費,2,非常備消防費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,9,消防費,1,消防費,3,消防施設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,9,消防費,1,消防費,4,水防費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,1,教育総務費,1,教育委員会費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,1,教育総務費,2,事務局費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,1,教育総務費,3,恩給及び退職年金費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,2,小学校費,1,学校管理費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,2,小学校費,2,教育振興費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,2,小学校費,3,学校建設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,3,中学校費,1,学校管理費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,3,中学校費,2,教育振興費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,3,中学校費,3,学校建設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,4,高等学校費,1,高等学校総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,4,高等学校費,2,全日制高等学校管理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,4,高等学校費,3,定時制高等学校管理費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,4,高等学校費,4,教育振興費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,4,高等学校費,5,学校建設費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,5,幼稚園費,1,幼稚園費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,6,社会教育費,1,社会教育総務費,true,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,6,社会教育費,2,公民館費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
expenditure,10,教育費,6,社会教育費,3,図書館費,false,地方自治法施行規則 別記「歳入歳出予算の款項の区分及び目の区分」（第15条関係）市町村・歳出
