jurisdiction_code,fiscal_year,direction,kan_label,amount_thousand_yen
132047,2024,expenditure,議会費,529109
132047,2024,expenditure,総務費,9464435
132047,2024,expenditure,民生費,43047116
132047,2024,expenditure,衛生費,5409405
132047,2024,expenditure,労働費,86244
132047,2024,expenditure,農林費,1716008
132047,2024,expenditure,商工費,596002
132047,2024,expenditure,土木費,5781499
132047,2024,expenditure,消防費,2274861
132047,2024,expenditure,教育費,10797482
132047,2024,expenditure,公債費,3385811
132047,2024,expenditure,予備費,100000
132047,2024,revenue,市税,39849457
132047,2024,revenue,地方譲与税,298040
132047,2024,revenue,利子割交付金,73394
132047,2024,revenue,配当割交付金,435225
132047,2024,revenue,株式等譲渡所得割交付金,448421
132047,2024,revenue,法人事業税交付金,653050
132047,2024,revenue,地方消費税交付金,4591671
132047,2024,revenue,自動車取得税交付金,1
132047,2024,revenue,環境性能割交付金,83436
132047,2024,revenue,地方特例交付金,1086998
132047,2024,revenue,地方交付税,1
132047,2024,revenue,交通安全対策特別交付金,18116
132047,2024,revenue,分担金及び負担金,437014
132047,2024,revenue,使用料及び手数料,1236515
132047,2024,revenue,国庫支出金,14958623
132047,2024,revenue,都支出金,11261268
132047,2024,revenue,財産収入,52815
132047,2024,revenue,寄附金,42407
132047,2024,revenue,繰入金,3538972
132047,2024,revenue,繰越金,1000000
132047,2024,revenue,諸収入,1756548
132047,2024,revenue,市債,1366000
