団体コード,"都道府県名
 （漢字）","市区町村名
 （漢字）","都道府県名
 （カナ）","市区町村名
 （カナ）",自治体のトップページ,会議録のトップページ, 自治体数,公開自治体数,公開自治体率
10006,北海道,,ﾎｯｶｲﾄﾞｳ,,http://www.pref.hokkaido.lg.jp/,http://www.gikai.pref.hokkaido.lg.jp/kaigiroku/,1788,1542,86.24%
11002,北海道,札幌市,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼ,https://www.city.sapporo.jp/,http://www.city.sapporo.jp/gikai/html/kaigiroku-sokuho.html,,,
12025,北海道,函館市,ﾎｯｶｲﾄﾞｳ,ﾊｺﾀﾞﾃｼ,http://www.city.hakodate.hokkaido.jp/,http://www.city.hakodate.hokkaido.jp/docs/2014011000209/,,,
12033,北海道,小樽市,ﾎｯｶｲﾄﾞｳ,ｵﾀﾙｼ,https://www.city.otaru.lg.jp/,https://www.city.otaru.lg.jp/sisei_tokei/gikai/kaigiroku_index.html,,,
12041,北海道,旭川市,ﾎｯｶｲﾄﾞｳ,ｱｻﾋｶﾜｼ,http://www.city.asahikawa.hokkaido.jp/,http://www.kaigiroku.net/kensaku/asahikawa/asahikawa.html,,,
12050,北海道,室蘭市,ﾎｯｶｲﾄﾞｳ,ﾑﾛﾗﾝｼ,http://www.city.muroran.lg.jp/,http://www.kaigiroku.net/kensaku/cgi-bin/WWWframeBase.exe?A=frameBase&USR=hokmurs&PWD=&L=1&S=31,,,
12068,北海道,釧路市,ﾎｯｶｲﾄﾞｳ,ｸｼﾛｼ,http://www.city.kushiro.lg.jp/,http://www.kaigiroku.net/kensaku/kushiro/kushiro.html,,,
12076,北海道,帯広市,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾋﾛｼ,http://www.city.obihiro.hokkaido.jp/,http://www.kaigiroku.net/kensaku/obihiro/obihiro.html,,,
12084,北海道,北見市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾐｼ,https://www.city.kitami.lg.jp/,http://www.kaigiroku.net/kensaku/kitami/kitami.html,,,
12092,北海道,夕張市,ﾎｯｶｲﾄﾞｳ,ﾕｳﾊﾞﾘｼ,https://www.city.yubari.lg.jp/,http://www.city.yubari.lg.jp/contents/municipal/gikai/kaigiroku/index.html,,,
12106,北海道,岩見沢市,ﾎｯｶｲﾄﾞｳ,ｲﾜﾐｻﾞﾜｼ,http://www.city.iwamizawa.hokkaido.jp/,http://www.city.iwamizawa.hokkaido.jp/index.php/contents/item/1509187,,,
12114,北海道,網走市,ﾎｯｶｲﾄﾞｳ,ｱﾊﾞｼﾘｼ,http://www.city.abashiri.hokkaido.jp/,https://www.city.abashiri.hokkaido.jp/070shigikai/080kaigiroku.html,,,
12122,北海道,留萌市,ﾎｯｶｲﾄﾞｳ,ﾙﾓｲｼ,http://www.e-rumoi.jp/,http://www.kaigiroku.net/kensaku/rumoi/rumoi.html,,,
12131,北海道,苫小牧市,ﾎｯｶｲﾄﾞｳ,ﾄﾏｺﾏｲｼ,http://www.city.tomakomai.hokkaido.jp/,http://www.kaigiroku.net/kensaku/tomakomai/tomakomai.html,,,
12149,北海道,稚内市,ﾎｯｶｲﾄﾞｳ,ﾜｯｶﾅｲｼ,http://www.city.wakkanai.hokkaido.jp/,http://www.kaigiroku.net/kensaku/wakkanai/wakkanai.html,,,
12157,北海道,美唄市,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾊﾞｲｼ,http://www.city.bibai.hokkaido.jp/,http://www.city.bibai.hokkaido.jp/jyumin/docs/2015082000020/,,,
12165,北海道,芦別市,ﾎｯｶｲﾄﾞｳ,ｱｼﾍﾞﾂｼ,http://www.city.ashibetsu.hokkaido.jp/,http://www.kaigiroku.net/kensaku/ashibetsu/ashibetsu.html,,,
12173,北海道,江別市,ﾎｯｶｲﾄﾞｳ,ｴﾍﾞﾂｼ,http://www.city.ebetsu.hokkaido.jp/,https://www.city.ebetsu.hokkaido.jp/site/gijiroku1/,,,
12181,北海道,赤平市,ﾎｯｶｲﾄﾞｳ,ｱｶﾋﾞﾗｼ,http://www.city.akabira.hokkaido.jp/,http://www.city.akabira.hokkaido.jp/docs/2013011000349/,,,
12190,北海道,紋別市,ﾎｯｶｲﾄﾞｳ,ﾓﾝﾍﾞﾂｼ,http://mombetsu.jp/,http://www.mombetsu.jp/gikai/proceedings.html,,,
12203,北海道,士別市,ﾎｯｶｲﾄﾞｳ,ｼﾍﾞﾂｼ,http://www.city.shibetsu.lg.jp/www/index.html,http://www.city.shibetsu.lg.jp/www/contents/1391405066057/index.html,,,
12211,北海道,名寄市,ﾎｯｶｲﾄﾞｳ,ﾅﾖﾛｼ,http://www.city.nayoro.lg.jp/,http://www.city.nayoro.lg.jp/assembly/l5o8uj00000001n6.html,,,
12220,北海道,三笠市,ﾎｯｶｲﾄﾞｳ,ﾐｶｻｼ,http://www.city.mikasa.hokkaido.jp/,http://www.city.mikasa.hokkaido.jp/assembly/category/307.html,,,
