全国地方公共団体コード,ID,地方公共団体名,名称,号数,発行年月,発行元,町字ID,発行元所在地_都道府県,発行元所在地_市区町村,発行元所在地_町字,発行元所在地_番地以下,発行元所在地_建物名等(方書),発行元連絡先（電話番号）,発行元連絡先（メールアドレス）,URL
131091,,東京都品川区,品川区議会だより　令和６年　第２回定例会号,307,2024-08,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/307/307.pdf
131091,,東京都品川区,品川区議会だより　令和６年　第１回臨時会・第２回臨時会号,306,2024-06,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/306/306.pdf
131091,,東京都品川区,品川区議会だより　令和６年　第１回定例会号,305,2024-05,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/305/305.pdf
131091,,東京都品川区,品川区議会だより　令和５年　第４回定例会・第２回臨時会号,304,2024-02,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/304/304.pdf
131091,,東京都品川区,品川区議会だより　令和６年　新年号,303,2024-01,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/303/303.pdf
131091,,東京都品川区,品川区議会だより　令和５年　第３回定例会号,302,2023-11,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/302/302.pdf
131091,,東京都品川区,品川区議会だより　令和５年　第２回定例会号,301,2023-08,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/301/301.pdf
131091,,東京都品川区,品川区議会だより　令和５年　第１回臨時会号,300,2023-06,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/300/300.pdf
131091,,東京都品川区,品川区議会だより　令和５年　改選号,299,2023-05,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/299/299.pdf
131091,,東京都品川区,品川区議会だより　令和５年　第１回定例会号,298,2023-04,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/298/298.pdf
131091,,東京都品川区,品川区議会だより　令和４年　第４回定例会号,297,2023-02,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/297/297.pdf
131091,,東京都品川区,品川区議会だより　令和５年　新年号,296,2023-01,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/296/296.pdf
131091,,東京都品川区,品川区議会だより　令和４年　第３回定例会号,295,2022-12,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/295/295.pdf
131091,,東京都品川区,品川区議会だより　令和４年　第２回定例会号,294,2022-08,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/294/294.pdf
131091,,東京都品川区,品川区議会だより　令和４年　第１回臨時会号,293,2022-06,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/293/293.pdf
131091,,東京都品川区,品川区議会だより　令和４年　第１回定例会号,292,2022-04,品川区議会事務局,,東京都,品川区,広町,2-1-36,,(03)5742-6810,,https://gikai.city.shinagawa.tokyo.jp/wp-content/themes/shinagawakugikai/pdf/tayori/292/292.pdf
